#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
120,2.730157,3.9328,3.4883,2.0911,-0.5998,-0.5847,-0.6891
121,2.73042,3.9335,3.4907,2.0923,-0.6006,-0.5875,-0.6879
122,2.730686,3.9346,3.4939,2.0935,-0.602,-0.5901,-0.687
123,2.730942,3.9357,3.4966,2.0942,-0.6027,-0.5918,-0.6856
124,2.731206,3.9364,3.4989,2.0951,-0.6026,-0.5927,-0.6833
125,2.731469,3.9377,3.503,2.0966,-0.6052,-0.5972,-0.6821
126,2.731723,3.9386,3.5058,2.0981,-0.6061,-0.5991,-0.6805
127,2.731974,3.9405,3.51,2.0995,-0.6078,-0.6027,-0.6785
128,2.732232,3.942,3.5141,2.1009,-0.6095,-0.6065,-0.6768
129,2.732483,3.9427,3.5168,2.1012,-0.6086,-0.6065,-0.6741
130,2.73274,3.9445,3.5223,2.1035,-0.6113,-0.6108,-0.6718
131,2.732988,3.945,3.5251,2.1042,-0.6103,-0.6114,-0.6684
132,2.733231,3.9465,3.5304,2.1066,-0.6121,-0.6145,-0.6656
133,2.733474,3.9482,3.5343,2.1073,-0.6113,-0.6162,-0.6617
134,2.733718,3.9492,3.5385,2.1089,-0.6112,-0.6174,-0.6576
135,2.733953,3.9508,3.5431,2.1099,-0.6109,-0.6179,-0.6533
136,2.734186,3.9521,3.5471,2.1116,-0.6103,-0.6178,-0.6487
137,2.734417,3.9536,3.5509,2.1129,-0.6086,-0.6179,-0.6439
138,2.734646,3.9548,3.555,2.1145,-0.6081,-0.6184,-0.6383
139,2.734855,3.957,3.5596,2.1159,-0.6078,-0.6197,-0.6344
140,2.735068,3.9584,3.565,2.1182,-0.6077,-0.6209,-0.6291
141,2.735262,3.9607,3.5709,2.1203,-0.6076,-0.623,-0.6238
142,2.735432,3.9625,3.5769,2.1226,-0.6076,-0.6249,-0.6189
143,2.735584,3.9648,3.5823,2.125,-0.6091,-0.6282,-0.6142
144,2.735721,3.9666,3.5879,2.128,-0.6105,-0.6319,-0.6099
145,2.735835,3.9688,3.5931,2.1307,-0.6124,-0.6362,-0.6058
146,2.735933,3.971,3.5989,2.1339,-0.6137,-0.6402,-0.6011
147,2.736025,3.9727,3.604,2.1359,-0.6136,-0.6418,-0.5957
148,2.735988,3.9735,3.6026,2.1397,-0.6183,-0.6474,-0.5991
149,2.735978,3.9807,3.6021,2.1704,-0.6834,-0.7227,-0.6428
150,2.736055,3.997,3.6047,2.2329,-0.8191,-0.8837,-0.7367
151,2.736426,4.0112,3.6283,2.2646,-0.8822,-0.9675,-0.7653
152,2.736524,4.0145,3.6367,2.2683,-0.8903,-0.9814,-0.7672
153,2.736581,4.0146,3.6449,2.2627,-0.8788,-0.9713,-0.7562
154,2.736603,4.0155,3.6515,2.2594,-0.872,-0.9654,-0.7486
155,2.736608,4.017,3.6619,2.2567,-0.8678,-0.965,-0.7411
156,2.736553,4.024,3.6957,2.2506,-0.8504,-0.9592,-0.7089
157,2.73645,4.0332,3.7581,2.2233,-0.7787,-0.9019,-0.6182
158,2.736331,4.0425,3.8341,2.1842,-0.6793,-0.819,-0.4994
159,2.736215,4.046,3.9093,2.1243,-0.5369,-0.6852,-0.3493
160,2.736155,4.0404,3.9428,2.0707,-0.417,-0.5607,-0.2442
161,2.73611,4.0319,3.9217,2.0554,-0.4006,-0.5346,-0.2499
162,2.735402,4.0526,3.9797,2.0784,-0.4623,-0.6363,-0.265
163,2.734647,4.0624,3.9924,2.108,-0.5508,-0.7512,-0.3299
164,2.733842,4.064,3.9608,2.1443,-0.6647,-0.8754,-0.4426
165,2.733145,4.0559,3.8923,2.1779,-0.776,-0.9806,-0.576
166,2.732573,4.0418,3.8104,2.2054,-0.8697,-1.0582,-0.7039
167,2.73212,4.0263,3.7283,2.2262,-0.9448,-1.1139,-0.8151
168,2.731749,4.012,3.6534,2.2433,-1.0074,-1.1568,-0.9112
169,2.731439,3.9986,3.5831,2.2592,-1.0626,-1.1942,-0.9986
170,2.731188,3.9856,3.5157,2.274,-1.1149,-1.2281,-1.081
171,2.730997,3.9741,3.4529,2.2904,-1.167,-1.2636,-1.1608
172,2.730878,3.9628,3.3925,2.308,-1.2205,-1.3012,-1.2378
173,2.730841,3.9531,3.3335,2.3264,-1.2747,-1.3415,-1.315
174,2.730875,3.9435,3.2774,2.3448,-1.3298,-1.3829,-1.39
175,2.730983,3.9351,3.2238,2.3641,-1.3842,-1.424,-1.464
176,2.731153,3.9277,3.1748,2.3837,-1.4387,-1.4668,-1.5349
177,2.73139,3.9214,3.1301,2.4029,-1.491,-1.5092,-1.6032
178,2.731661,3.9154,3.0879,2.4217,-1.5414,-1.5498,-1.6682
179,2.731962,3.9098,3.0473,2.4397,-1.5898,-1.5878,-1.731
180,2.732279,3.9039,3.0085,2.4565,-1.6347,-1.6224,-1.7903
181,2.7326,3.8986,2.9712,2.4725,-1.676,-1.6533,-1.8447
182,2.732899,3.894,2.9285,2.4968,-1.7398,-1.7092,-1.9211
183,2.733213,3.8895,2.8897,2.5174,-1.7969,-1.7578,-1.9902
184,2.733499,3.8854,2.8541,2.5372,-1.8506,-1.8048,-2.0546
